pid,attribute,phase,calculation,value
"('CONTROL', '3Sp3rSvqFsh6')",id,phase_1,diversity,0.013014763014763057
"('CONTROL', '3Sp3rSvqFsh6')",id,phase_1,proportion,0.013014763014763057
"('CONTROL', '3Sp3rSvqFsh6')",id,phase_2,diversity,0.013014763014763057
"('CONTROL', '3Sp3rSvqFsh6')",id,phase_2,proportion,0.013014763014763057
"('CONTROL', '3Sp3rSvqFsh6')",party,phase_1,diversity,0.6
"('CONTROL', '3Sp3rSvqFsh6')",party,phase_1,proportion,0.6307692307692307
"('CONTROL', '3Sp3rSvqFsh6')",party,phase_1,ratio,0.2
"('CONTROL', '3Sp3rSvqFsh6')",party,phase_2,diversity,0.6
"('CONTROL', '3Sp3rSvqFsh6')",party,phase_2,proportion,0.6307692307692307
"('CONTROL', '3Sp3rSvqFsh6')",party,phase_2,ratio,0.2
"('CONTROL', '3Sp3rSvqFsh6')",gender,phase_1,diversity,0.2
"('CONTROL', '3Sp3rSvqFsh6')",gender,phase_1,proportion,0.26153846153846155
"('CONTROL', '3Sp3rSvqFsh6')",gender,phase_1,ratio,0.6
"('CONTROL', '3Sp3rSvqFsh6')",gender,phase_2,diversity,0.2
"('CONTROL', '3Sp3rSvqFsh6')",gender,phase_2,proportion,0.26153846153846155
"('CONTROL', '3Sp3rSvqFsh6')",gender,phase_2,ratio,0.6
"('CONTROL', '3Sp3rSvqFsh6')",first_name,phase_1,diversity,0.01710456709575036
"('CONTROL', '3Sp3rSvqFsh6')",first_name,phase_1,proportion,0.01706381025926006
"('CONTROL', '3Sp3rSvqFsh6')",first_name,phase_2,diversity,0.01710456709575036
"('CONTROL', '3Sp3rSvqFsh6')",first_name,phase_2,proportion,0.01706381025926006
"('CONTROL', '3Sp3rSvqFsh6')",last_name,phase_1,diversity,0.013272543059777084
"('CONTROL', '3Sp3rSvqFsh6')",last_name,phase_1,proportion,0.013198209242560498
"('CONTROL', '3Sp3rSvqFsh6')",last_name,phase_2,diversity,0.013272543059777084
"('CONTROL', '3Sp3rSvqFsh6')",last_name,phase_2,proportion,0.013198209242560498
"('CONTROL', '3Sp3rSvqFsh6')",occupation,phase_1,diversity,0.10666666666666667
"('CONTROL', '3Sp3rSvqFsh6')",occupation,phase_1,proportion,0.09405063861436475
"('CONTROL', '3Sp3rSvqFsh6')",occupation,phase_2,diversity,0.10666666666666667
"('CONTROL', '3Sp3rSvqFsh6')",occupation,phase_2,proportion,0.09405063861436475
"('CONTROL', '3Sp3rSvqFsh6')",religion,phase_1,diversity,0.2133333333333333
"('CONTROL', '3Sp3rSvqFsh6')",religion,phase_1,proportion,0.08902827500129766
"('CONTROL', '3Sp3rSvqFsh6')",religion,phase_2,diversity,0.2133333333333333
"('CONTROL', '3Sp3rSvqFsh6')",religion,phase_2,proportion,0.08902827500129766
"('CONTROL', '3Sp3rSvqFsh6')",age,phase_1,diversity,0.3
"('CONTROL', '3Sp3rSvqFsh6')",age,phase_1,proportion,0.2
"('CONTROL', '3Sp3rSvqFsh6')",age,phase_2,diversity,0.3
"('CONTROL', '3Sp3rSvqFsh6')",age,phase_2,proportion,0.2
"('CONTROL', '3Sp3rSvqFsh6')",political_experience,phase_1,diversity,0.07352941176470588
"('CONTROL', '3Sp3rSvqFsh6')",political_experience,phase_1,proportion,0.057574354804223904
"('CONTROL', '3Sp3rSvqFsh6')",political_experience,phase_2,diversity,0.07352941176470588
"('CONTROL', '3Sp3rSvqFsh6')",political_experience,phase_2,proportion,0.057574354804223904
"('CONTROL', '3Sp3rSvqFsh6')",policy_strength_ban_abortion_after_6_weeks,phase_1,diversity,0.6666666666666666
"('CONTROL', '3Sp3rSvqFsh6')",policy_strength_ban_abortion_after_6_weeks,phase_1,proportion,0.6934316824727783
"('CONTROL', '3Sp3rSvqFsh6')",policy_strength_ban_abortion_after_6_weeks,phase_2,diversity,0.6666666666666666
"('CONTROL', '3Sp3rSvqFsh6')",policy_strength_ban_abortion_after_6_weeks,phase_2,proportion,0.6934316824727783
"('CONTROL', '6oheLF74hlXc')",id,phase_1,diversity,0.013014763014763044
"('CONTROL', '6oheLF74hlXc')",id,phase_1,proportion,0.013014763014763044
"('CONTROL', '6oheLF74hlXc')",id,phase_2,diversity,0.013014763014763044
"('CONTROL', '6oheLF74hlXc')",id,phase_2,proportion,0.013014763014763044
"('CONTROL', '6oheLF74hlXc')",party,phase_1,diversity,0.0
"('CONTROL', '6oheLF74hlXc')",party,phase_1,proportion,0.0769230769230769
"('CONTROL', '6oheLF74hlXc')",party,phase_1,ratio,0.5
"('CONTROL', '6oheLF74hlXc')",party,phase_2,diversity,0.0
"('CONTROL', '6oheLF74hlXc')",party,phase_2,proportion,0.0769230769230769
"('CONTROL', '6oheLF74hlXc')",party,phase_2,ratio,0.5
"('CONTROL', '6oheLF74hlXc')",gender,phase_1,diversity,0.0
"('CONTROL', '6oheLF74hlXc')",gender,phase_1,proportion,0.38461538461538464
"('CONTROL', '6oheLF74hlXc')",gender,phase_1,ratio,0.5
"('CONTROL', '6oheLF74hlXc')",gender,phase_2,diversity,0.0
"('CONTROL', '6oheLF74hlXc')",gender,phase_2,proportion,0.38461538461538464
"('CONTROL', '6oheLF74hlXc')",gender,phase_2,ratio,0.5
"('CONTROL', '6oheLF74hlXc')",first_name,phase_1,diversity,0.01710456709575037
"('CONTROL', '6oheLF74hlXc')",first_name,phase_1,proportion,0.01731923023186964
"('CONTROL', '6oheLF74hlXc')",first_name,phase_2,diversity,0.01710456709575037
"('CONTROL', '6oheLF74hlXc')",first_name,phase_2,proportion,0.01731923023186964
"('CONTROL', '6oheLF74hlXc')",last_name,phase_1,diversity,0.013272543059777087
"('CONTROL', '6oheLF74hlXc')",last_name,phase_1,proportion,0.0131982092425605
"('CONTROL', '6oheLF74hlXc')",last_name,phase_2,diversity,0.013272543059777087
"('CONTROL', '6oheLF74hlXc')",last_name,phase_2,proportion,0.0131982092425605
"('CONTROL', '6oheLF74hlXc')",occupation,phase_1,diversity,0.13333333333333333
"('CONTROL', '6oheLF74hlXc')",occupation,phase_1,proportion,0.18601408461142857
"('CONTROL', '6oheLF74hlXc')",occupation,phase_2,diversity,0.13333333333333333
"('CONTROL', '6oheLF74hlXc')",occupation,phase_2,proportion,0.18601408461142857
"('CONTROL', '6oheLF74hlXc')",religion,phase_1,diversity,0.2133333333333333
"('CONTROL', '6oheLF74hlXc')",religion,phase_1,proportion,0.07730832023621077
"('CONTROL', '6oheLF74hlXc')",religion,phase_2,diversity,0.2133333333333333
"('CONTROL', '6oheLF74hlXc')",religion,phase_2,proportion,0.07730832023621077
"('CONTROL', '6oheLF74hlXc')",age,phase_1,diversity,0.2
"('CONTROL', '6oheLF74hlXc')",age,phase_1,proportion,0.3
"('CONTROL', '6oheLF74hlXc')",age,phase_2,diversity,0.2
"('CONTROL', '6oheLF74hlXc')",age,phase_2,proportion,0.3
"('CONTROL', '6oheLF74hlXc')",political_experience,phase_1,diversity,0.0588235294117647
"('CONTROL', '6oheLF74hlXc')",political_experience,phase_1,proportion,0.07372798019290078
"('CONTROL', '6oheLF74hlXc')",political_experience,phase_2,diversity,0.0588235294117647
"('CONTROL', '6oheLF74hlXc')",political_experience,phase_2,proportion,0.07372798019290078
"('CONTROL', '6oheLF74hlXc')",policy_strength_ban_abortion_after_6_weeks,phase_1,diversity,0.13333333333333333
"('CONTROL', '6oheLF74hlXc')",policy_strength_ban_abortion_after_6_weeks,phase_1,proportion,0.10462612863902145
"('CONTROL', '6oheLF74hlXc')",policy_strength_ban_abortion_after_6_weeks,phase_2,diversity,0.13333333333333333
"('CONTROL', '6oheLF74hlXc')",policy_strength_ban_abortion_after_6_weeks,phase_2,proportion,0.10462612863902145
"('CONTROL', '8D64yb05oRDt')",id,phase_1,diversity,0.013014763014763057
"('CONTROL', '8D64yb05oRDt')",id,phase_1,proportion,0.013014763014763057
"('CONTROL', '8D64yb05oRDt')",id,phase_2,diversity,0.013014763014763057
"('CONTROL', '8D64yb05oRDt')",id,phase_2,proportion,0.013014763014763057
"('CONTROL', '8D64yb05oRDt')",party,phase_1,diversity,0.8
"('CONTROL', '8D64yb05oRDt')",party,phase_1,proportion,0.8153846153846154
"('CONTROL', '8D64yb05oRDt')",party,phase_1,ratio,0.1
"('CONTROL', '8D64yb05oRDt')",party,phase_2,diversity,0.8
"('CONTROL', '8D64yb05oRDt')",party,phase_2,proportion,0.8153846153846154
"('CONTROL', '8D64yb05oRDt')",party,phase_2,ratio,0.1
"('CONTROL', '8D64yb05oRDt')",gender,phase_1,diversity,0.0
"('CONTROL', '8D64yb05oRDt')",gender,phase_1,proportion,0.38461538461538464
"('CONTROL', '8D64yb05oRDt')",gender,phase_1,ratio,0.5
"('CONTROL', '8D64yb05oRDt')",gender,phase_2,diversity,0.0
"('CONTROL', '8D64yb05oRDt')",gender,phase_2,proportion,0.38461538461538464
"('CONTROL', '8D64yb05oRDt')",gender,phase_2,ratio,0.5
"('CONTROL', '8D64yb05oRDt')",first_name,phase_1,diversity,0.017104567095750343
"('CONTROL', '8D64yb05oRDt')",first_name,phase_1,proportion,0.016930587611675926
"('CONTROL', '8D64yb05oRDt')",first_name,phase_2,diversity,0.017104567095750343
"('CONTROL', '8D64yb05oRDt')",first_name,phase_2,proportion,0.016930587611675926
"('CONTROL', '8D64yb05oRDt')",last_name,phase_1,diversity,0.013272543059777087
"('CONTROL', '8D64yb05oRDt')",last_name,phase_1,proportion,0.013293768463082252
"('CONTROL', '8D64yb05oRDt')",last_name,phase_2,diversity,0.013272543059777087
"('CONTROL', '8D64yb05oRDt')",last_name,phase_2,proportion,0.013293768463082252
"('CONTROL', '8D64yb05oRDt')",occupation,phase_1,diversity,0.15999999999999998
"('CONTROL', '8D64yb05oRDt')",occupation,phase_1,proportion,0.12550427881226198
"('CONTROL', '8D64yb05oRDt')",occupation,phase_2,diversity,0.15999999999999998
"('CONTROL', '8D64yb05oRDt')",occupation,phase_2,proportion,0.12550427881226198
"('CONTROL', '8D64yb05oRDt')",religion,phase_1,diversity,0.2133333333333333
"('CONTROL', '8D64yb05oRDt')",religion,phase_1,proportion,0.07958581499197943
"('CONTROL', '8D64yb05oRDt')",religion,phase_2,diversity,0.2133333333333333
"('CONTROL', '8D64yb05oRDt')",religion,phase_2,proportion,0.07958581499197943
"('CONTROL', '8D64yb05oRDt')",age,phase_1,diversity,0.3
"('CONTROL', '8D64yb05oRDt')",age,phase_1,proportion,0.4
"('CONTROL', '8D64yb05oRDt')",age,phase_2,diversity,0.3
"('CONTROL', '8D64yb05oRDt')",age,phase_2,proportion,0.4
"('CONTROL', '8D64yb05oRDt')",political_experience,phase_1,diversity,0.07352941176470588
"('CONTROL', '8D64yb05oRDt')",political_experience,phase_1,proportion,0.03820314658699236
"('CONTROL', '8D64yb05oRDt')",political_experience,phase_2,diversity,0.07352941176470588
"('CONTROL', '8D64yb05oRDt')",political_experience,phase_2,proportion,0.03820314658699236
"('CONTROL', '8D64yb05oRDt')",policy_strength_ban_abortion_after_6_weeks,phase_1,diversity,0.5666666666666668
"('CONTROL', '8D64yb05oRDt')",policy_strength_ban_abortion_after_6_weeks,phase_1,proportion,0.57120766957995
"('CONTROL', '8D64yb05oRDt')",policy_strength_ban_abortion_after_6_weeks,phase_2,diversity,0.5666666666666668
"('CONTROL', '8D64yb05oRDt')",policy_strength_ban_abortion_after_6_weeks,phase_2,proportion,0.57120766957995
"('CONTROL', '8cPi4CoiSpNN')",id,phase_1,diversity,0.013014763014763064
"('CONTROL', '8cPi4CoiSpNN')",id,phase_1,proportion,0.013014763014763064
"('CONTROL', '8cPi4CoiSpNN')",id,phase_2,diversity,0.013014763014763064
"('CONTROL', '8cPi4CoiSpNN')",id,phase_2,proportion,0.013014763014763064
"('CONTROL', '8cPi4CoiSpNN')",party,phase_1,diversity,0.2
"('CONTROL', '8cPi4CoiSpNN')",party,phase_1,proportion,0.2615384615384615
"('CONTROL', '8cPi4CoiSpNN')",party,phase_1,ratio,0.4
"('CONTROL', '8cPi4CoiSpNN')",party,phase_2,diversity,0.2
"('CONTROL', '8cPi4CoiSpNN')",party,phase_2,proportion,0.2615384615384615
"('CONTROL', '8cPi4CoiSpNN')",party,phase_2,ratio,0.4
"('CONTROL', '8cPi4CoiSpNN')",gender,phase_1,diversity,0.2
"('CONTROL', '8cPi4CoiSpNN')",gender,phase_1,proportion,0.26153846153846155
"('CONTROL', '8cPi4CoiSpNN')",gender,phase_1,ratio,0.6
"('CONTROL', '8cPi4CoiSpNN')",gender,phase_2,diversity,0.2
"('CONTROL', '8cPi4CoiSpNN')",gender,phase_2,proportion,0.26153846153846155
"('CONTROL', '8cPi4CoiSpNN')",gender,phase_2,ratio,0.6
"('CONTROL', '8cPi4CoiSpNN')",first_name,phase_1,diversity,0.017104567095750353
"('CONTROL', '8cPi4CoiSpNN')",first_name,phase_1,proportion,0.016551029960070802
"('CONTROL', '8cPi4CoiSpNN')",first_name,phase_2,diversity,0.017104567095750353
"('CONTROL', '8cPi4CoiSpNN')",first_name,phase_2,proportion,0.016551029960070802
"('CONTROL', '8cPi4CoiSpNN')",last_name,phase_1,diversity,0.013272543059777089
"('CONTROL', '8cPi4CoiSpNN')",last_name,phase_1,proportion,0.013198209242560483
"('CONTROL', '8cPi4CoiSpNN')",last_name,phase_2,diversity,0.013272543059777089
"('CONTROL', '8cPi4CoiSpNN')",last_name,phase_2,proportion,0.013198209242560483
"('CONTROL', '8cPi4CoiSpNN')",occupation,phase_1,diversity,0.14666666666666664
"('CONTROL', '8cPi4CoiSpNN')",occupation,phase_1,proportion,0.09720432071516814
"('CONTROL', '8cPi4CoiSpNN')",occupation,phase_2,diversity,0.14666666666666664
"('CONTROL', '8cPi4CoiSpNN')",occupation,phase_2,proportion,0.09720432071516814
"('CONTROL', '8cPi4CoiSpNN')",religion,phase_1,diversity,0.2266666666666666
"('CONTROL', '8cPi4CoiSpNN')",religion,phase_1,proportion,0.08489749039720886
"('CONTROL', '8cPi4CoiSpNN')",religion,phase_2,diversity,0.2266666666666666
"('CONTROL', '8cPi4CoiSpNN')",religion,phase_2,proportion,0.08489749039720886
"('CONTROL', '8cPi4CoiSpNN')",age,phase_1,diversity,0.1
"('CONTROL', '8cPi4CoiSpNN')",age,phase_1,proportion,0.1
"('CONTROL', '8cPi4CoiSpNN')",age,phase_2,diversity,0.1
"('CONTROL', '8cPi4CoiSpNN')",age,phase_2,proportion,0.1
"('CONTROL', '8cPi4CoiSpNN')",political_experience,phase_1,diversity,0.08088235294117646
"('CONTROL', '8cPi4CoiSpNN')",political_experience,phase_1,proportion,0.08557556604568979
"('CONTROL', '8cPi4CoiSpNN')",political_experience,phase_2,diversity,0.08088235294117646
"('CONTROL', '8cPi4CoiSpNN')",political_experience,phase_2,proportion,0.08557556604568979
"('CONTROL', '8cPi4CoiSpNN')",policy_strength_ban_abortion_after_6_weeks,phase_1,diversity,0.3333333333333333
"('CONTROL', '8cPi4CoiSpNN')",policy_strength_ban_abortion_after_6_weeks,phase_1,proportion,0.09144403809996075
"('CONTROL', '8cPi4CoiSpNN')",policy_strength_ban_abortion_after_6_weeks,phase_2,diversity,0.3333333333333333
"('CONTROL', '8cPi4CoiSpNN')",policy_strength_ban_abortion_after_6_weeks,phase_2,proportion,0.09144403809996075
"('CONTROL', 'CnOeEROhOZaX')",id,phase_1,diversity,0.013014763014763044
"('CONTROL', 'CnOeEROhOZaX')",id,phase_1,proportion,0.013014763014763044
"('CONTROL', 'CnOeEROhOZaX')",id,phase_2,diversity,0.013014763014763044
"('CONTROL', 'CnOeEROhOZaX')",id,phase_2,proportion,0.013014763014763044
"('CONTROL', 'CnOeEROhOZaX')",party,phase_1,diversity,0.0
"('CONTROL', 'CnOeEROhOZaX')",party,phase_1,proportion,0.0769230769230769
"('CONTROL', 'CnOeEROhOZaX')",party,phase_1,ratio,0.5
"('CONTROL', 'CnOeEROhOZaX')",party,phase_2,diversity,0.0
"('CONTROL', 'CnOeEROhOZaX')",party,phase_2,proportion,0.0769230769230769
"('CONTROL', 'CnOeEROhOZaX')",party,phase_2,ratio,0.5
"('CONTROL', 'CnOeEROhOZaX')",gender,phase_1,diversity,0.2
"('CONTROL', 'CnOeEROhOZaX')",gender,phase_1,proportion,0.5076923076923077
"('CONTROL', 'CnOeEROhOZaX')",gender,phase_1,ratio,0.4
"('CONTROL', 'CnOeEROhOZaX')",gender,phase_2,diversity,0.2
"('CONTROL', 'CnOeEROhOZaX')",gender,phase_2,proportion,0.5076923076923077
"('CONTROL', 'CnOeEROhOZaX')",gender,phase_2,ratio,0.4
"('CONTROL', 'CnOeEROhOZaX')",first_name,phase_1,diversity,0.017104567095750377
"('CONTROL', 'CnOeEROhOZaX')",first_name,phase_1,proportion,0.017065596412914687
"('CONTROL', 'CnOeEROhOZaX')",first_name,phase_2,diversity,0.017104567095750377
"('CONTROL', 'CnOeEROhOZaX')",first_name,phase_2,proportion,0.017191520245564862
"('CONTROL', 'CnOeEROhOZaX')",last_name,phase_1,diversity,0.013272543059777086
"('CONTROL', 'CnOeEROhOZaX')",last_name,phase_1,proportion,0.013198209242560498
"('CONTROL', 'CnOeEROhOZaX')",last_name,phase_2,diversity,0.013272543059777086
"('CONTROL', 'CnOeEROhOZaX')",last_name,phase_2,proportion,0.0131982092425605
"('CONTROL', 'CnOeEROhOZaX')",occupation,phase_1,diversity,0.09333333333333332
"('CONTROL', 'CnOeEROhOZaX')",occupation,phase_1,proportion,0.08323617572601678
"('CONTROL', 'CnOeEROhOZaX')",occupation,phase_2,diversity,0.05333333333333332
"('CONTROL', 'CnOeEROhOZaX')",occupation,phase_2,proportion,0.09544419814074646
