	participantId	age	gender	occupation	party	policy_strength_ban_abortion_after_6_weeks	political_experience	religion
0	2JGqWIJXzVqU	1.0	0.0	0.0	2.0	0.0	1.0	0.0
1	3Sp3rSvqFsh6	4.0	0.0	2.0	0.0	0.0	7.0	0.0
2	64J6C4DDhBTL	12.0	1.0	16.0	0.0	0.0	1.0	0.0
3	6oheLF74hlXc	8.0	10.0	3.0	1.0	5.0	2.0	5.0
4	8D64yb05oRDt	2.0	0.0	1.0	0.0	1.0	1.0	0.0
5	8cPi4CoiSpNN	1.0	2.0	0.0	0.0	10.0	1.0	0.0
6	CnOeEROhOZaX	8.0	11.0	6.0	2.0	26.0	13.0	0.0
7	ICIog47oVtN8	1.0	2.0	0.0	13.0	0.0	1.0	0.0
8	Ms0iLF9ONsEk	6.0	8.0	8.0	1.0	0.0	3.0	0.0
9	PQYxIfFvPDoT	1.0	2.0	2.0	0.0	0.0	2.0	0.0
10	XqYJiar2m2Vh	1.0	1.0	0.0	0.0	0.0	4.0	0.0
11	YBSfFKUphtYM	7.0	2.0	2.0	0.0	5.0	7.0	0.0
12	YazCemZZbIdK	8.0	4.0	2.0	1.0	0.0	4.0	0.0
13	ZY1tfYLxtiya	3.0	4.0	0.0	0.0	0.0	8.0	0.0
14	gPCb7Uy0pEM0	1.0	0.0	27.0	0.0	0.0	6.0	0.0
15	lPpxNz1aVtYh	5.0	3.0	2.0	2.0	0.0	1.0	0.0
16	ml0S3iEwySQR	9.0	7.0	4.0	4.0	0.0	10.0	0.0
17	pCrA474tRx8G	1.0	3.0	5.0	0.0	0.0	1.0	0.0
18	pgz1HXaRPEea	12.0	5.0	14.0	0.0	2.0	9.0	3.0
19	qFIltQnZAor7	2.0	2.0	0.0	0.0	0.0	2.0	0.0
20	r9cpBWj7l0iV	2.0	0.0	0.0	0.0	0.0	3.0	0.0
21	t4bcBwMLxPc6	1.0	2.0	20.0	14.0	0.0	1.0	0.0
22	xrOuOynQhVbO	1.0	2.0	2.0	2.0	0.0	1.0	0.0
