participant_id	interaction_type	app_type
3Sp3rSvqFsh6	axes_attribute_changed	7
3Sp3rSvqFsh6	filter_changed	2
3Sp3rSvqFsh6	mouseout	15
3Sp3rSvqFsh6	mouseout_from_list	1
3Sp3rSvqFsh6	mouseover	15
3Sp3rSvqFsh6	mouseover_from_list	1
64J6C4DDhBTL	mouseout_from_list	1
64J6C4DDhBTL	mouseover_from_list	1
6oheLF74hlXc	filter_changed	1
6oheLF74hlXc	mouseout	8
6oheLF74hlXc	mouseout_from_list	27
6oheLF74hlXc	mouseover	8
6oheLF74hlXc	mouseover_from_list	27
8cPi4CoiSpNN	mouseout_from_list	4
8cPi4CoiSpNN	mouseover_from_list	4
CnOeEROhOZaX	add_to_list_via_scatterplot_click	1
CnOeEROhOZaX	axes_attribute_changed	1
CnOeEROhOZaX	filter_changed	10
CnOeEROhOZaX	mouseout	14
CnOeEROhOZaX	mouseout_from_list	20
CnOeEROhOZaX	mouseover	14
CnOeEROhOZaX	mouseover_from_list	21
CnOeEROhOZaX	remove_from_list_via_list_item_click	1
ICIog47oVtN8	add_to_list_via_scatterplot_click	20
ICIog47oVtN8	axes_attribute_changed	2
ICIog47oVtN8	filter_changed	5
ICIog47oVtN8	mouseout	31
ICIog47oVtN8	mouseout_from_list	14
ICIog47oVtN8	mouseover	31
ICIog47oVtN8	mouseover_from_list	31
ICIog47oVtN8	remove_from_list_via_list_item_click	20
Ms0iLF9ONsEk	add_to_list_via_scatterplot_click	1
Ms0iLF9ONsEk	filter_changed	2
Ms0iLF9ONsEk	mouseout	5
Ms0iLF9ONsEk	mouseout_from_list	41
Ms0iLF9ONsEk	mouseover	5
Ms0iLF9ONsEk	mouseover_from_list	42
Ms0iLF9ONsEk	remove_from_list_via_list_item_click	1
PQYxIfFvPDoT	mouseout_from_list	3
PQYxIfFvPDoT	mouseover_from_list	3
XqYJiar2m2Vh	add_to_list_via_scatterplot_click	3
XqYJiar2m2Vh	axes_attribute_changed	7
XqYJiar2m2Vh	mouseout	14
XqYJiar2m2Vh	mouseout_from_list	9
XqYJiar2m2Vh	mouseover	14
XqYJiar2m2Vh	mouseover_from_list	11
XqYJiar2m2Vh	remove_from_list_via_card_click	1
XqYJiar2m2Vh	remove_from_list_via_list_item_click	2
YazCemZZbIdK	add_to_list_via_scatterplot_click	2
YazCemZZbIdK	axes_attribute_changed	1
YazCemZZbIdK	mouseout	12
YazCemZZbIdK	mouseout_from_list	41
YazCemZZbIdK	mouseover	12
YazCemZZbIdK	mouseover_from_list	43
YazCemZZbIdK	remove_from_list_via_list_item_click	2
ZY1tfYLxtiya	add_to_list_via_scatterplot_click	3
ZY1tfYLxtiya	filter_changed	2
ZY1tfYLxtiya	mouseout	20
ZY1tfYLxtiya	mouseout_from_list	44
ZY1tfYLxtiya	mouseover	20
ZY1tfYLxtiya	mouseover_from_list	47
ZY1tfYLxtiya	remove_from_list_via_list_item_click	3
gPCb7Uy0pEM0	mouseout_from_list	12
gPCb7Uy0pEM0	mouseover_from_list	12
hoMzF8Cf1Y5j	axes_attribute_changed	2
hoMzF8Cf1Y5j	mouseout	6
hoMzF8Cf1Y5j	mouseover	6
lPpxNz1aVtYh	mouseout_from_list	1
lPpxNz1aVtYh	mouseover_from_list	1
pgz1HXaRPEea	mouseout_from_list	1
pgz1HXaRPEea	mouseover_from_list	1
qFIltQnZAor7	add_to_list_via_scatterplot_click	2
qFIltQnZAor7	axes_attribute_changed	6
qFIltQnZAor7	mouseout	7
qFIltQnZAor7	mouseout_from_list	65
qFIltQnZAor7	mouseover	7
qFIltQnZAor7	mouseover_from_list	67
qFIltQnZAor7	remove_from_list_via_list_item_click	2
r9cpBWj7l0iV	mouseout_from_list	1
r9cpBWj7l0iV	mouseover_from_list	1
t4bcBwMLxPc6	mouseout_from_list	1
t4bcBwMLxPc6	mouseover_from_list	1
xrOuOynQhVbO	add_to_list_via_scatterplot_click	2
xrOuOynQhVbO	mouseout	41
xrOuOynQhVbO	mouseout_from_list	20
xrOuOynQhVbO	mouseover	41
xrOuOynQhVbO	mouseover_from_list	22
xrOuOynQhVbO	remove_from_list_via_list_item_click	2
