	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345710477	add_to_committee	Ms0iLF9ONsEk	phase_1	p025	159.55200004577637
1	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345719976	remove_from_committee	Ms0iLF9ONsEk	phase_1	p025	169.05100011825562
2	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345748297	add_to_committee	Ms0iLF9ONsEk	phase_1	p043	197.37199997901917
3	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345763461	add_to_committee	Ms0iLF9ONsEk	phase_1	p094	212.53600001335144
4	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345768158	add_to_committee	Ms0iLF9ONsEk	phase_1	p105	217.23300004005432
5	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345775048	remove_from_committee	Ms0iLF9ONsEk	phase_1	p105	224.1230001449585
6	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345794531	remove_from_committee	Ms0iLF9ONsEk	phase_1	p094	243.60599994659424
7	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345806530	add_to_committee	Ms0iLF9ONsEk	phase_1	p035	255.6050000190735
8	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345833744	add_to_committee	Ms0iLF9ONsEk	phase_1	p060	282.81900000572205
9	{'political_experience': {3: 0, 5: 0, 7: 4, 1: 0, 10: 0, 6: 0, 11: 0, 9: 2, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 5, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 1, 'Mormon': 1, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 1, 48: 0, 49: 1, 51: 2, 52: 0, 53: 0, 54: 0, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 2, 'Opposed': 6}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 1, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1583345837603	remove_from_committee	Ms0iLF9ONsEk	phase_1	p060	286.6779999732971
