	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474675666	add_to_committee	ZY1tfYLxtiya	phase_1	p082	114.5789999961853
1	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474691134	add_to_committee	ZY1tfYLxtiya	phase_1	p141	130.04700016975403
2	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474797579	add_to_committee	ZY1tfYLxtiya	phase_1	p013	236.49200010299683
3	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474804882	add_to_committee	ZY1tfYLxtiya	phase_1	p106	243.79500007629395
4	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474824685	add_to_committee	ZY1tfYLxtiya	phase_1	p066	263.59800004959106
5	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474898229	add_to_committee	ZY1tfYLxtiya	phase_1	p036	337.14200019836426
6	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474904030	add_to_committee	ZY1tfYLxtiya	phase_1	p014	342.9430000782013
7	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474917660	add_to_committee	ZY1tfYLxtiya	phase_1	p071	356.5730001926422
8	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474928813	add_to_committee	ZY1tfYLxtiya	phase_1	p116	367.7260000705719
9	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 1, 9: 2, 8: 1, 12: 0, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 0, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 1, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 1, 'Educator': 3, 'Career Politician': 2, 'Business': 0}}	1584474948397	add_to_committee	ZY1tfYLxtiya	phase_1	p051	387.3100001811981
