	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436404758	add_to_committee	pCrA474tRx8G	phase_1	p084	181.6819999217987
1	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436449263	add_to_committee	pCrA474tRx8G	phase_1	p133	226.18700003623962
2	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436515151	add_to_committee	pCrA474tRx8G	phase_1	p073	292.0750000476837
3	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436518071	add_to_committee	pCrA474tRx8G	phase_1	p075	294.99500012397766
4	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436560304	add_to_committee	pCrA474tRx8G	phase_1	p141	337.2279999256134
5	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436607596	add_to_committee	pCrA474tRx8G	phase_1	p116	384.5199999809265
6	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436634996	add_to_committee	pCrA474tRx8G	phase_1	p021	411.92000007629395
7	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436651742	add_to_committee	pCrA474tRx8G	phase_1	p120	428.66600012779236
8	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436707040	add_to_committee	pCrA474tRx8G	phase_1	p117	483.96399998664856
9	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 2, 6: 3, 11: 0, 9: 0, 8: 1, 12: 0, 13: 0, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 1, 52: 0, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 0, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 1, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 5, 'Scientist': 2, 'Doctor': 1, 'Educator': 2, 'Career Politician': 0, 'Business': 0}}	1583436714979	add_to_committee	pCrA474tRx8G	phase_1	p036	491.90300011634827
