	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965214432	add_to_committee	pgz1HXaRPEea	phase_1	p013	350.4229998588562
1	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965268918	add_to_committee	pgz1HXaRPEea	phase_1	p131	404.90899991989136
2	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965290310	add_to_committee	pgz1HXaRPEea	phase_1	p051	426.30099987983704
3	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965351114	add_to_committee	pgz1HXaRPEea	phase_1	p116	487.1050000190735
4	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965383323	add_to_committee	pgz1HXaRPEea	phase_1	p003	519.3139998912811
5	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965402074	add_to_committee	pgz1HXaRPEea	phase_1	p037	538.0649998188019
6	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965483590	add_to_committee	pgz1HXaRPEea	phase_1	p121	619.5809998512268
7	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965486622	remove_from_committee	pgz1HXaRPEea	phase_1	p121	622.6129999160767
8	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965498232	add_to_committee	pgz1HXaRPEea	phase_1	p108	634.2230000495911
9	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 2, 8: 0, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 1, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 3, 'Female': 7}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 2, 54: 0, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 2, 'Opposed': 8}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 3, 'Business': 1}}	1583965630454	add_to_committee	pgz1HXaRPEea	phase_1	p081	766.4449999332428
