	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1583515806007	add_to_committee	64J6C4DDhBTL	phase_1	p058	129.34899997711182
1	2	1583515843277	add_to_committee	64J6C4DDhBTL	phase_1	p001	166.61899995803833
2	3	1583515879150	add_to_committee	64J6C4DDhBTL	phase_1	p071	202.49200010299683
3	4	1583515918699	add_to_committee	64J6C4DDhBTL	phase_1	p093	242.04099988937378
4	5	1583515986289	add_to_committee	64J6C4DDhBTL	phase_1	p036	309.63100004196167
5	6	1583516008686	add_to_committee	64J6C4DDhBTL	phase_1	p051	332.02800011634827
6	7	1583516010560	add_to_committee	64J6C4DDhBTL	phase_1	p117	333.90199995040894
7	6	1583516013184	remove_from_committee	64J6C4DDhBTL	phase_1	p036	336.5260000228882
8	7	1583516016366	add_to_committee	64J6C4DDhBTL	phase_1	p036	339.7079999446869
9	6	1583516018686	remove_from_committee	64J6C4DDhBTL	phase_1	p051	342.02800011634827
10	5	1583516019576	remove_from_committee	64J6C4DDhBTL	phase_1	p117	342.91799998283386
11	6	1583516058502	add_to_committee	64J6C4DDhBTL	phase_1	p023	381.8440001010895
12	7	1583516067722	add_to_committee	64J6C4DDhBTL	phase_1	p130	391.0639998912811
13	8	1583516078865	add_to_committee	64J6C4DDhBTL	phase_1	p004	402.20700001716614
14	9	1583516090795	add_to_committee	64J6C4DDhBTL	phase_1	p039	414.13700008392334
15	10	1583516102647	add_to_committee	64J6C4DDhBTL	phase_1	p139	425.989000082016
16	9	1583516156600	remove_from_committee	64J6C4DDhBTL	phase_1	p001	479.94199991226196
17	10	1583516170832	add_to_committee	64J6C4DDhBTL	phase_1	p141	494.17400002479553
18	9	1583516213781	remove_from_committee	64J6C4DDhBTL	phase_1	p058	537.1229999065399
19	10	1583516216602	add_to_committee	64J6C4DDhBTL	phase_1	p142	539.944000005722
20	9	1583516248647	remove_from_committee	64J6C4DDhBTL	phase_1	p071	571.989000082016
21	10	1583516250407	add_to_committee	64J6C4DDhBTL	phase_1	p116	573.7490000724792
