	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1583277337874	add_to_committee	8D64yb05oRDt	phase_1	p087	117.68300008773804
1	2	1583277348696	add_to_committee	8D64yb05oRDt	phase_1	p082	128.50500011444092
2	3	1583277366989	add_to_committee	8D64yb05oRDt	phase_1	p141	146.79800009727478
3	4	1583277405841	add_to_committee	8D64yb05oRDt	phase_1	p014	185.65000009536743
4	5	1583277419151	add_to_committee	8D64yb05oRDt	phase_1	p031	198.96000003814697
5	6	1583277468305	add_to_committee	8D64yb05oRDt	phase_1	p036	248.114000082016
6	7	1583277541111	add_to_committee	8D64yb05oRDt	phase_1	p043	320.92000007629395
7	8	1583277622757	add_to_committee	8D64yb05oRDt	phase_1	p013	402.5659999847412
8	9	1583277709931	add_to_committee	8D64yb05oRDt	phase_1	p004	489.74000000953674
9	10	1583277739225	add_to_committee	8D64yb05oRDt	phase_1	p095	519.0339999198914
10	9	1583277744796	remove_from_committee	8D64yb05oRDt	phase_1	p095	524.6050000190735
11	10	1583277748809	add_to_committee	8D64yb05oRDt	phase_1	p120	528.6180000305176
