	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1583342525642	add_to_committee	PQYxIfFvPDoT	phase_1	p013	16.98300004005432
1	2	1583342529573	add_to_committee	PQYxIfFvPDoT	phase_1	p142	20.914000034332275
2	3	1583342619577	add_to_committee	PQYxIfFvPDoT	phase_1	p074	110.91799998283386
3	4	1583342621817	add_to_committee	PQYxIfFvPDoT	phase_1	p035	113.1579999923706
4	5	1583342692454	add_to_committee	PQYxIfFvPDoT	phase_1	p022	183.79500007629395
5	6	1583342703176	add_to_committee	PQYxIfFvPDoT	phase_1	p117	194.51700019836426
6	7	1583342707373	add_to_committee	PQYxIfFvPDoT	phase_1	p036	198.71399998664856
7	8	1583342722230	add_to_committee	PQYxIfFvPDoT	phase_1	p093	213.57100009918213
8	9	1583342787484	add_to_committee	PQYxIfFvPDoT	phase_1	p037	278.8250000476837
9	10	1583342798361	add_to_committee	PQYxIfFvPDoT	phase_1	p111	289.7020001411438
10	9	1583342822912	remove_from_committee	PQYxIfFvPDoT	phase_1	p022	314.25300002098083
11	8	1583342963333	remove_from_committee	PQYxIfFvPDoT	phase_1	p037	454.67400002479553
12	9	1583342964967	add_to_committee	PQYxIfFvPDoT	phase_1	p134	456.30800008773804
13	10	1583343096322	add_to_committee	PQYxIfFvPDoT	phase_1	p120	587.6630001068115
14	9	1583343118525	remove_from_committee	PQYxIfFvPDoT	phase_1	p134	609.8660001754761
15	10	1583343119710	add_to_committee	PQYxIfFvPDoT	phase_1	p081	611.0510001182556
16	9	1583343140171	remove_from_committee	PQYxIfFvPDoT	phase_1	p036	631.5120000839233
17	10	1583343141844	add_to_committee	PQYxIfFvPDoT	phase_1	p107	633.1850001811981
18	9	1583343368313	remove_from_committee	PQYxIfFvPDoT	phase_1	p035	859.654000043869
19	10	1583343370166	add_to_committee	PQYxIfFvPDoT	phase_1	p059	861.5069999694824
20	9	1583343401776	remove_from_committee	PQYxIfFvPDoT	phase_1	p013	893.1170001029968
21	10	1583343403863	add_to_committee	PQYxIfFvPDoT	phase_1	p037	895.2039999961853
