	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1582827127722	add_to_committee	xrOuOynQhVbO	phase_1	p094	220.14599990844727
1	2	1582827135673	add_to_committee	xrOuOynQhVbO	phase_1	p074	228.0970001220703
2	3	1582827151894	add_to_committee	xrOuOynQhVbO	phase_1	p013	244.3180000782013
3	4	1582827161288	add_to_committee	xrOuOynQhVbO	phase_1	p007	253.71200013160706
4	5	1582827182133	add_to_committee	xrOuOynQhVbO	phase_1	p135	274.5569999217987
5	4	1582827185743	remove_from_committee	xrOuOynQhVbO	phase_1	p135	278.1670000553131
6	5	1582827187660	add_to_committee	xrOuOynQhVbO	phase_1	p073	280.0840001106262
7	6	1582827190065	add_to_committee	xrOuOynQhVbO	phase_1	p065	282.489000082016
8	7	1582827200175	add_to_committee	xrOuOynQhVbO	phase_1	p103	292.5989999771118
9	8	1582827218531	add_to_committee	xrOuOynQhVbO	phase_1	p055	310.95499992370605
10	7	1582827223692	remove_from_committee	xrOuOynQhVbO	phase_1	p055	316.1159999370575
11	8	1582827228314	add_to_committee	xrOuOynQhVbO	phase_1	p136	320.73799991607666
12	9	1582827232763	add_to_committee	xrOuOynQhVbO	phase_1	p034	325.1870000362396
13	10	1582827244502	add_to_committee	xrOuOynQhVbO	phase_1	p012	336.9260001182556
14	9	1582827261301	remove_from_committee	xrOuOynQhVbO	phase_1	p013	353.72500014305115
15	10	1582827263652	add_to_committee	xrOuOynQhVbO	phase_1	p120	356.07599997520447
