Timestamp,User ID (Copy and Paste from Above),What do you hope would be the outcome of your committee? ,What was your criteria for choosing politicians in your committee?,What is your opinion on banning abortion after 6 weeks?,In your initial committee selection. [Experience],In your initial committee selection. [First Name],In your initial committee selection. [Gender],In your initial committee selection. [Last Name],In your initial committee selection. [Occupation],In your initial committee selection. [Religion],In your initial committee selection. [Policy on Abortion],In your initial committee selection. [Political Party],In your revised committee selection. [Experience],In your revised committee selection. [First Name],In your revised committee selection. [Gender],In your revised committee selection. [Last Name],In your revised committee selection. [Occupation],In your revised committee selection. [Religion],In your revised committee selection. [Policy on Abortion],In your revised committee selection. [Political Party],How useful did you find the SCATTERPLOT VIEW in the interface?,How useful did you find the DETAIL VIEW in the interface?,How useful did you find the FILTERS in the interface?,How useful did you find the SELECTED COMMITTEE LIST in the interface?,How useful did you find the COMPARISON OF YOUR INTERACTIONS WITH THE DATASET after you completed your initial committee selection?,How useful did you find COLORING OF DATA POINTS IN THE SCATTERPLOT?,How useful did you find CHARTS COMPARING YOUR INTERACTIONS TO THE DATA DISTRIBUTION in the top-right of the interface?
3/4/2020 12:49:47,PQYxIfFvPDoT,"I've tried to balance the representation in the committee to have equal proportion of political inclinations and gender ratio. Similarly, I've kept a proportion of 4-2-4 for members who are opposing to neutral to in favor of the bill. I feel this bill should be opposed and final verdict goes in the favor of opposing the bill.","I tried to keep a good balance among the most important attributes like gender, political inclinations, age. I went with 4-2-4 proportion for the members who are currently opposing, are neutral, and who're in favor of the bill to have the diversification of the committee.",1,4,7,1,7,3,3,1,1,4,7,1,7,3,3,1,1,4,3,5,4,5,3,4
3/4/2020 13:39:54,Ms0iLF9ONsEk,I hope that my committee will make an informed decision on understanding that women should decide what to do with their bodies. Not necessarily men. ,"I wanted a distribution of opposing people, neutral, and in favor. I also wanted every occupation so that they can understand the situation from different perspectives. I wanted them to hear each other out on the reasons why they have their views",1,3,7,2,7,1,5,1,3,3,7,7,7,1,7,1,4,4,5,4,3,3,5,4
3/5/2020 14:53:45,pCrA474tRx8G,I don't have a specific hope for the actual outcome value because I don't consider myself well informed about the topic. I think I am biased towards letting people choose if they want to have a baby so my personal opinion is against the bill. But my hope is that relevant aspects are considered and the decision is taken in the best interest of the people.,I wanted to have a variety of opinion with biases in gender and occupation. I wanted to involve more women because although I think the issue affects both genders it affects women more. I also don't know much about career politicians or understand/ respect that choice in career so I didn't choose any people with that occupation. I tried to keep balance in terms of opinion on the bill as well trying to choose people of different age groups. I guess I was hoping to have representations of the different citizen groups I could think of so there could be a good dialogue.  ,2,2,7,1,7,2,3,2,6,,,,,,,,,3,4,5,4,5,1,1
3/6/2020 11:41:27,2JGqWIJXzVqU,Increase ban limitation if not oppose the ban to make this an individual's decision,Neutral to opposed categories.,1,2,7,2,7,1,2,2,3,1,,,,,,,,5,4,1,3,4,4,4
3/6/2020 12:46:33,64J6C4DDhBTL,unbiased decision across a representative and educated committee,equal representation across age and occupation,3,2,7,1,7,1,4,7,4,2,7,1,7,1,4,7,4,5,4,4,4,5,5,3
3/6/2020 17:47:27,ml0S3iEwySQR,Bill remains unchanged,Have more females. Politicians across different occupations and parties. Have people across different age and political experience.,3,2,7,2,7,4,6,1,2,,,,,,,,,3,4,4,3,4,2,4
3/9/2020 12:54:32,ICIog47oVtN8,"To have a good discussion about this topic. I have no clue what side I take on this issue, so I don't have a strong feeling regarding whether the Heartbeat Bill is kept. I think I could develop a side if I participated in this kind of discussion, so perhaps the committee would eventually pick a side. It would be done fairly because of the group I chose.","All neutral, 5 of each gender, 5 of each party",3,7,7,1,7,7,7,1,3,7,7,1,7,7,7,1,1,5,5,5,3,3,3,1
3/10/2020 11:52:10,XqYJiar2m2Vh,"Review every aspect of the bill, the parties its going to affect, implications and contest it if they believe its wrong","Since it's a committee that's reviewing an existing bill, the majority of my pool was people who were opposed to the bill and women (party directly affected). I also threw in some experienced people in relevant career fields who were opposed to/neutral about the bill to encourage a holistic debate in the committee.",1,2,7,1,7,2,4,1,6,2,7,2,7,1,4,1,5,5,4,2,5,3,5,3
3/10/2020 13:46:59,YBSfFKUphtYM,Review the bill and make and informed decision,"Age, Gender, whether or not in favour of the bill",2,2,7,1,7,6,7,1,7,,,,,,,,,5,4,5,4,5,5,5
3/11/2020 18:40:05,pgz1HXaRPEea,"I hope that the committee would not pass the bill, or otherwise criticize it","Since it's my committee, I chose people who would most likely arrive at my desired outcome. I don't think abortion after 6 weeks should be banned, so I chose people who explicitly held that belief. Other factors such as being a woman or democrat also played into my decision.",1,4,6,2,6,2,3,1,2,,,,,,,,,5,3,5,5,5,4,2
3/12/2020 20:47:40,t4bcBwMLxPc6,Discuss and debate about their views and take the final decision. I tried to the committee balanced so the final outcome is not biased. ,"Age, Occupation, Party and Gender. ",4,5,7,2,7,3,5,1,3,,,,,,,,,4,3,4,3,4,2,3
3/17/2020 17:07:28,YazCemZZbIdK,"I would hope that they would have a fair discussion, with no side having an unfair advantage due to the number of candidates present.","The committee should have members representing all possible backgrounds, so that each persons' view is considered.",4,3,7,4,7,3,7,5,5,3,7,3,7,3,4,5,5,5,4,3,4,5,5,4
