Timestamp,User ID (Copy and Paste from Above),Gender,Age,Highest Education Level Completed or Currently Pursuing,What is your major or field of occupation?,What types of political election have you voted in? Select all that apply. ,With which political party do you most identify?,As a whole?,"On matters of ECONOMICS AND BUSINESS? (e.g., government regulation of corporations)","On matters of FOREIGN POLICY? (e.g., government involvement in world affairs, military involvement, etc.)","On matters of GOVERNMENT PERFORMANCE? (e.g., government efficiency)","On matters of SOCIAL SAFETY NET? (e.g., government regulation aiding Americans in need)","On matters of SOCIAL VALUES? (e.g., government regulation to combat discrimination based on gender, sexuality, etc.)","On matters of RACE? (e.g., government regulation to combat racial discrimination) ","On matters of IMMIGRATION? (e.g., government regulation permitting or restricting immigration and foreign refuge)","On matters of ENVIRONMENT? (e.g., government regulation to protect the environment)","On matters of PERSONAL EFFICACY? (e.g., government assistance to help citizens get ahead)","What is your level of experience looking at data in a visual form (e.g., scatterplot, bar chart, etc)?",
2/25/2020 13:06:35,8cPi4CoiSpNN,Male,24,Master's Degree,Computer science,"US Presidential election, US State election, US Local election",Democratic,4,5,4,6,5,6,6,4,6,2,4,
2/26/2020 13:27:50,6oheLF74hlXc,Male,19,Some College,Computer Science,N/A,Democrat,4,5,4,4,6,6,6,6,6,6,4,
2/26/2020 14:11:24,qFIltQnZAor7,Female,23,Bachelor's Degree,Computer Science,None,Independent,4,5,5,4,6,3,5,5,6,5,3,
2/26/2020 15:11:26,CnOeEROhOZaX,Male,22,Master's Degree,Human Computer Interaction,Another country's election,Aam Aadmi Party (Indian Politics),4,4,5,3,4,5,5,5,5,4,5,
2/27/2020 12:59:59,xrOuOynQhVbO,Male,24,Ph.D.,Aerospace Engineering,None,Middle ground,4,4,4,4,4,4,5,5,6,4,4,
3/2/2020 12:06:51,3Sp3rSvqFsh6,Female,26,Master's Degree,Computer Science,"US Presidential election, US State election, US Local election",democrat,6,5,6,6,6,6,6,6,6,6,4,
3/3/2020 11:03:24,gPCb7Uy0pEM0,Male,24,Master's Degree,Computer Science,Another country's election,Democrats,4,4,2,1,6,6,6,6,6,6,5,
3/3/2020 18:06:08,8D64yb05oRDt,Male,21,Some College,Computational Media,"US Presidential election, US State election, US Local election",Unaffiliated,4,4,3,3,5,5,6,5,6,4,4,
3/4/2020 12:11:38,PQYxIfFvPDoT,Male,27,Master's Degree,Data Science / Finance,Another country's election,Democratic,5,4,4,4,5,5,5,4,3,4,4,
3/4/2020 13:02:47,Ms0iLF9ONsEk,Female,26,Ph.D.,Mechanical Engineering,"US Presidential election, US State election",Democratic,5,6,5,5,5,6,6,6,6,5,4,
3/5/2020 14:11:59,pCrA474tRx8G,Male,31,Ph.D.,Computer Science,Another country's election,Democratic,4,5,5,4,6,5,6,5,6,6,5,
3/6/2020 11:08:01,2JGqWIJXzVqU,Female,34,Master's Degree,HCI,Another country's election,Democratic,4,2,5,4,5,6,4,5,6,5,4,
3/6/2020 12:18:08,64J6C4DDhBTL,Male,34,Master's Degree,Analytics,Another country's election,Congress,4,5,5,5,5,6,5,3,5,3,5,
3/6/2020 17:11:51,ml0S3iEwySQR,Male,24,Master's Degree,Analytics,Another country's election,Republican,2,1,4,3,4,2,3,2,4,2,5,
3/9/2020 12:12:57,ICIog47oVtN8,Female,24,Master's Degree,Analytics,"US Presidential election, US State election, US Local election",Democrat,6,6,6,6,6,6,6,6,6,6,4,
3/10/2020 11:19:17,XqYJiar2m2Vh,Female,23,Master's Degree,Environmental Engineering,None,Democrat,6,6,6,4,6,6,6,5,6,4,3,
3/10/2020 13:14:07,YBSfFKUphtYM,Female,33,Master's Degree,Computer Science,No other,Democratic,5,4,5,5,4,6,6,4,5,4,4,
3/11/2020 18:03:53,pgz1HXaRPEea,Female,22,Ph.D.,Mechanical Engineering,US Midterm election,democrat,5,5,3,5,6,6,6,6,6,5,4,
3/12/2020 20:03:56,t4bcBwMLxPc6,Male,25,Master's Degree,Computer Science,Another country's election,Democrats,5,4,5,5,4,5,5,5,5,5,3,
3/15/2020 20:13:50,lPpxNz1aVtYh,Female,27,Master's Degree,Civil Engineering,Another country's election,None,5,5,5,5,5,5,5,5,4,2,4,
3/15/2020 20:48:30,hoMzF8Cf1Y5j,Female,26,Master's Degree,Software engineer,non,non,5,4,4,4,4,4,4,4,4,4,4,
3/16/2020 16:54:55,r9cpBWj7l0iV,Female,23,Some College,electrical engineering,"US State election, US Local election",independent,4,2,5,2,3,5,5,2,2,2,4,
3/17/2020 15:42:07,ZY1tfYLxtiya,Female,27,Master's Degree,Computer Science,Another country's election,N/A,5,5,5,4,5,6,6,6,4,4,4,
3/17/2020 16:32:47,YazCemZZbIdK,Male,23,Master's Degree,Chemical Engineering,Another country's election,Democrats,4,4,5,3,6,6,6,5,4,2,4,
